Jogador	Golos	Assistências	Duelos ganhos, %	Ações defensivas com êxito/90	Passes certos, %
Fernando Karanga	3	1	40,11	4,63	69,84
Guilherme Dellatorre	4	1	29,19	2,75	70,13
João Paulo	7	2	42,62	3,88	82,78
João Carlos	3	1	26,34	3,95	72,28
Wesley da Silva	4	4	34,66	4,79	75,14
Philippe Costa	4	0	38,37	3,57	80,2
Itaitinga	2	1	44,69	6,23	74,88
Denílson	4	1	34,88	3,64	78,29
Tiago	9	2	28,44	2,9	78,02
Evandro	0	3	41,59	5,25	70,92
Jája Silva	3	1	46,13	6,77	68,92
Ricardo Lopes	3	1	32,82	4,54	80,08
Rodrigo Henrique	5	2	45,94	5,47	75,6
Leandro Ribeiro	2	6	43,89	2,96	73,4
Zeca	15	7	34,96	4,4	71,9
Erick	16	5	34,34	3,63	81,19
Clayton	8	0	29,46	2,9	76,3
França	5	0	38,15	5,84	64,91
Andre Clóvis	20	0	31,9	3,07	68,76
Marquinhos Gabriel	2	4	42,44	3,74	85,02
Bruno Mendes	7	0	36,31	2,92	76,29
Felipe	15	5	39,24	3,9	78,21
Richard	2	0	47,45	3,31	72,13
Bruno Lamas	10	7	39,79	3,83	80,03
Raphael Alemão	6	4	39,81	6,25	76,72
Muralha	9	5	42,13	3,75	79,16
Hernandes	8	3	41,7	3,59	77,85
Wendel	12	8	39,84	3,73	75,2
João Paulo	17	5	42,9	1,96	57,11
Rafinha	8	6	44,47	4,87	72,3
Renato Júnior	2	2	32,79	4,32	74,39
Bruno Oliveira	6	1	39,23	3,91	81,8
Jean Patrick	4	0	41,03	5,79	74,36
Garcez	6	0	42,17	5,39	75,68
Alan	3	3	38,14	4,41	72,15
Ai Kesen	8	0	45,27	4,79	81,51
Rivaldinho	3	1	37,47	2,23	72,31
Tiago Orobó	16	4	38,54	3,78	66,02
Hyuri	2	1	42,47	5,49	71,01
Alvaro de Oliveira	6	2	38,01	3,29	69,58
Neto	3	0	49,02	7,96	80,18
Marcinho	1	3	42,76	3,48	81,69
Matheus Cadorini	4	1	27,31	2,12	63,74
Pablo	2	0	37,81	6,55	84,06
Rodrigo Varanda	2	1	38,76	6,56	81,04
Yago Cariello	3	3	37,47	4,66	73,36
Derik Lacerda	0	1	41,36	3,86	77,89
Alisson Safira	6	1	40,33	3,41	76,8
Arthur Sales	8	1	41,86	5,92	78,04
Fabrício Daniel	3	2	40,99	5,17	73
Heberty	16	6	45,09	3,44	85,14
Juninho	15	0	32,24	3,54	80,41
Bergson	32	4	41,48	2,84	79,33
Mikael	13	0	50	6,21	85,26
Matheus Saldanha	18	3	36,25	2,94	72,53
Felipe Vizeu	9	1	31,48	2,65	82,44
Brenner	15	4	35,66	2,49	79,42
Foguinho	1	1	35,63	6,21	79,63
Douglas Coutinho	3	0	38,23	2,58	69,44
Paulo Victor	7	1	40,8	7,57	70,71
Marcelo Ryan	4	1	28,85	2,97	70,85
Sebá	2	1	44,01	4,94	69,9
Marco Túlio	17	8	41,13	5,54	78,92
Souza	11	8	50,22	6,7	80,21
Patrick	1	0	42,29	10,67	74,07
Henrique Almeida	2	1	32,38	5,86	73,62
Alan	9	10	41,38	5,37	85,53
Mateusão	1	1	36,97	3,86	69,23
Hamilton	14	4	44,97	4,53	81,07
Vander	3	4	41,34	2,53	70,77
Giovanni Augusto	2	2	48,2	5,59	81,91
Danilo Alves	5	1	37,68	6,48	80,1
Felippe Cardoso	7	0	30,19	3,59	79,76
William Lira	14	1	35,38	2,16	79,08
Daniel dos Anjos	5	1	37,3	3,71	72,94
André Luis	17	0	39,35	3,44	74,41
Lucas Silva	8	2	44,27	6,24	76,77
Michel	10	4	42,6	5,91	81,06
André Felipe	2	0	36,84	4,27	81,18
V. Matos	12	3	35,39	3,86	75,23
Nathan Fogaça	3	5	33,85	3,86	75,59
Bruno Marques	2	0	37,82	6,09	76,14
Waguininho	9	2	35,92	5,29	80,15
Luiz Adriano	9	4	31,75	3,39	82,86
Popó	4	0	24,05	3,21	78,79
Felipe Rodrigues	4	0	46,58	7,79	75,55
Dennis Murillo	7	1	40,68	2,71	77,9
Jefferson	21	2	37,14	2,96	73,57
Felipe Augusto	13	3	35	2,91	68,71
Claudinho	0	0	35,56	2,72	82,75
Davi Araújo	0	1	40,39	5,31	73,75
Tomás Bastos	8	5	40,22	5,38	80,79
Felipe Ferreira	1	0	42,92	3,15	80,2
Ryder Matos	1	1	41	3,51	81,39
Vinícius Lopes	0	0	38,82	5,65	81,61
Rômulo	2	2	36,84	4,87	80,22
Willian	3	0	36,36	5,57	83,72
Willen Mota	21	2	36,33	2,32	83,49
Matheuzinho	0	1	44,23	4,01	73,91
Vinícius Tanque	0	0	33,67	3,59	73,79
Ytalo	13	1	37,53	3,47	81,76
Matheus Aias	2	0	33,73	4,05	69,06
Welthon	16	2	39,38	3,32	72,62
Saulo Mineiro	1	0	30,7	3,84	73,76
Raúl Asencio	1	2	36,32	3,19	72,48
Lucas Ribamar	6	1	31,09	1,91	71,71
William Barbio	7	1	34,62	3,73	80,83
Pedro Henrique	13	3	38,69	2,84	72,4
Tiago Reis	1	1	25,93	2,49	70,69
Rodrigo Da Costa	15	5	40,4	3,86	73,39
Brenner	6	4	36,07	2,48	77,71
Lucas Lourenço	0	0	53,13	4,78	80,33
Lucca	4	1	39,69	5,13	73,85
Marcus Vinicius	13	1	43,14	4,94	80,4
Sandro Lima	5	2	30,46	2,82	81,63
O. Batista Meier	9	9	39,84	4,55	76,12
Gabriel	7	3	45,33	4,06	84,31
Pedro Lucas	5	5	39,62	4,16	79,8
Rodrigo Rodrigues	13	3	36,8	2,96	77,96
Thiago Bezerra	14	1	37,66	2,16	78,18
Ciro	14	5	45,8	3,1	61,57
Dudu	15	4	43,25	5,04	71,78
Júnior Pirambu	1	0	26,45	1,68	76,79
Renan Gorne	4	3	34,57	3,29	82,63
Jael	7	0	40,48	2,04	69,01
Vinícius Araújo	0	1	35,79	4	69,55
Jair Silva	14	3	45,19	4,46	68,92
Nicolas	11	1	36,09	2,5	82,1
Diego Maurício	20	5	33,7	2,34	75,18
Jenison	1	3	38,19	3,95	74,01
Bruno Baio	6	1	40,76	1,84	73,37
Samuel Rosa	18	6	45,82	3,23	76,85
Hêndrio	6	2	38,98	3,96	79,42
Rafaelson	19	1	44,03	2,37	74,22
Caion	10	4	36,91	2,05	69,82
Anderson Ceará	1	2	48,13	5,62	82,22
Jonathas	1	0	37,67	3,17	75,81
Gabriel Bispo	3	2	37,6	7,36	80,46
Júnior Dutra	1	0	27,52	4,21	73,17
Gabriel Santos	5	1	32,86	4,47	66,11
Diego Jardel	1	0	40	4,5	72,15
William Henrique	0	2	42,86	4,79	63,7
Zé Vitor	2	0	33,8	2,1	73,8
Chrigor	7	2	38,43	4,68	64,04
Salatiel	8	1	30,35	3,6	74,66
Bruno Mezenga	8	0	38,48	3,83	72,53
Júnior Todinho	6	2	34,42	6,01	76,62
Miguel Bianconi	2	0	44,33	1,74	79,19
Lecão	5	1	31,21	2,24	67,13
Yuri Mamute	9	1	37,54	2,35	82,88
Alex Sandro	9	4	45,94	3,73	80,05
Thomás	2	1	52,2	5,2	83,44
Fernandinho	5	5	41,73	3,89	84,58
Jackson	7	4	40,08	5,14	78,98
Thiago Santos	8	4	45,34	4,46	84,35
Gustavo Santos	11	3	41,43	5,09	65,12
Patrick	8	2	29,61	1,86	75,5
Lucão	2	0	44,09	1,71	67,74
Jô	2	0	36,28	4,6	70,48
Júnior Brandao	8	2	32,9	2,66	73,9
Crislan	11	1	39,49	3,04	69,4
Léo Gamalho	13	2	38,53	2,05	84,45
Sassá	19	0	30,37	1,75	82,04
Matheus Lucas	3	1	38,69	3,27	76
Robinho	2	0	35,91	4,54	80,65
Thuram	9	1	32,35	3,03	79,8
Pablo Dyego	9	3	43,02	5,9	76,24
Iago Dias	4	2	36,97	3,12	72,9
Felipe Amorim	4	2	38,52	4,35	65,79
Tardeli	13	4	42,04	3,36	71,97
Daniel Bahia	1	1	34,54	4,76	63,96
Lucao do Break	12	2	38,89	2,81	73,81
Diego Souza	1	0	29,59	1,99	76,92
Jonathan Balotelli	4	0	38,98	2,88	76,1
Ibson Melo	5	1	34,72	3,9	82,01
Rômulo	1	0	31,58	3,47	74,09
Rodrigo Maranhão	14	5	44,89	4,6	75,54
Lucas de Vega	0	0	43,46	5,83	85,34
Conrado	4	1	36,19	3,13	77,32
Anselmo	7	3	44,68	6,65	83,75
Marcelo Moreno	4	0	29,25	2,3	78,6
Luiz Henrique	0	1	49,14	7,87	88,11
Tharcysio	0	1	36,67	3,85	80,39
Dudu	3	3	35,43	4,67	84,05
Juninho Rocha	3	2	42,33	5,38	68,24
Samuel	1	0	28,02	3,72	73,8
Douglas Vieira	8	2	34,24	2,71	66,67
