Jogador	Equipe	Minutos jogados:	Golos	Assistências	Duelos ganhos, %	Altura	Duelos defensivos ganhos, %	Duelos aéreos ganhos, %	Interseções/90	Golos sem ser por penálti	Golos esperados/90	Golos de cabeça	Golos de cabeça/90	Remate	Remates à baliza, %	Golos marcados, %	Cruzamentos certos, %	Cruzamentos precisos do flanco esquerdo, %	Cruzamentos precisos do flanco direito, %	Dribles/90	Dribles com sucesso, %	Duelos ofensivos ganhos, %	Passes certos, %	Passes para a frente certos, %	Passes para trás certos, %	Passes laterais certos, %	Passes curtos / médios precisos, %	Passes longos certos, %	Passes inteligentes certos, %	Passes certos para terço final, %	Passes precisos para a área de penálti, %	Passes em profundidade certos, %	Passes progressivos certos, %
Thonny Anderson	ABC	1601	2	3	40,07	184	55,43	37,84	3,37	0	0,19	0	0	26	34,62	7,692	31,82	60	8,33	4,83	48,84	37,88	70,66	56,28	89,9	76,47	74,72	51,06	29,63	53,61	35,09	21,62	78,67
Zé Roberto	Mirassol	2624	9	2	37,4	184	33,65	47,06	1,58	6	0,28	1	0,03	50	44	18	38,1	38,46	37,5	2,92	30,59	33,33	73,53	58,33	90,08	75,54	75,83	50	33,33	62,3	42,86	29,41	71,88
Júnior Brumado	Hansa Rostock	774	1	0	31,33	190	48,15	39,71	1,16	1	0,28	0	0	19	21,05	5,263	50	0	50	5	51,16	25,58	81,82	71,43	87,5	81,08	81,88	100	80	66,67	100	66,67	72,73
Bruno Duarte	Farense	1506	3	0	37	182	54,76	36,28	1,43	3	0,37	2	0,12	37	37,84	8,108	31,25	50	20	2,93	57,14	37,12	75,45	58	89,87	76,62	79,27	56,25	50	53,57	50	37,5	80,77
Matheus Babi	Goiás	1851	6	1	35,6	191	53,92	39,48	1,99	3	0,27	1	0,05	32	43,75	18,75	0	0	0	2,09	39,53	27,68	72,7	54,55	89,33	73,02	75,19	50	0	64,52	11,11	0	60
Gabriel Novaes	Goiás	618	2	0	34,9	183	40	26,67	1,77	0	0,16	0	0	4	50	0	33,33	0	100	3,71	42,86	33,82	81,69	69,23	95	73,68	83,58	100	0	62,5	75	0	75
Marcos Júnior	Sanfrecce Hiroshima	1652	4	3	41,67	167	55,38	22,58	1,69	4	0,31	0	0	43	44,19	9,302	30,95	26,09	36,84	1,36	60	42,96	79,5	63,89	94,81	82,7	84,58	48,48	56,52	67,07	60	45,83	77,14
Daniel	Fluminense	2086	1	1	46,49	173	56,36	27,78	2,56	1	0,09	0	0	25	24	4	50	40,91	61,54	1,91	53,66	45,16	84,91	73,25	97,47	89,85	89,38	58,93	45	76,35	54,13	41,94	89,85
Vitor Bueno	Athletico Paranaense	3115	10	6	43,99	184	59,13	45,45	1,67	7	0,21	0	0	83	42,17	12,048	49,06	54,17	44,44	2,84	58,76	42,04	82,37	69,66	94,12	85,71	86,01	50,68	47,62	76,88	55	41,38	82,42
Francisco da Costa	Bolívar	1587	3	0	35,81	185	41,18	38,3	1,81	3	0,26	1	0,07	34	38,24	8,824	50	42,86	0	2,1	48,28	32,98	74,63	56,82	88,89	68,42	76,29	33,33	33,33	56,25	50	33,33	68
Moisés	Cruz Azul	2220	8	3	43,04	175	50	48,33	1,58	8	0,25	0	0	56	48,21	14,286	29,03	33,33	0	6,97	48,26	42,05	81,06	71,64	94,55	82,41	84,84	80	33,33	80,43	65,63	50	76,92
Leandro Damião	Kawasaki Frontale	546	1	1	34,07	188	57,14	44,19	0,82	0	0,5	0	0	15	33,33	6,667	0	0	0	0,99	50	30,23	65,15	78,57	88,89	55	67,74	33,33	0	50	57,14	0	80
Anderson Lopes	Yokohama F. Marinos	3263	23	4	30,66	185	52,33	27,78	1,63	21	0,52	10	0,28	84	51,19	27,381	33,33	25	0	2,76	47	28,21	82,06	70,8	92,31	83,17	83,78	57,58	53,85	77,94	51,61	50	70,37
Vinicius Mello	Charlotte FC	1097	5	2	36,29	182	54,55	33,33	1,77	3	0,52	1	0,1	26	38,46	11,538	25	0	40	3,53	55,56	36,11	78,3	52,63	95,31	74,24	82,54	47,06	0	51,85	66,67	0	73,68
Paulinho	Corinthians	781	2	0	48,41	183	75	45,24	3,46	2	0,13	1	0,12	11	18,18	18,182	50	66,67	0	1,04	66,67	42,19	86,17	57,58	98,55	96	89,02	42,86	50	57,14	50	100	57,14
Raniel	Qingdao West Coast	1979	12	2	41,34	181	55,56	39,09	1,64	8	0,54	1	0,05	62	48,39	19,355	33,33	16,67	66,67	3,96	49,43	38,69	77,22	57,38	92,86	74,42	79,32	61,54	50	57,58	50	50	68,18
Vina	Al Hazem	3332	7	1	41,95	177	40,91	46,51	2,28	6	0,29	2	0,06	80	40	8,75	41,46	28,57	48,15	1,14	53,66	46,31	83,24	73,56	95,11	86,75	86,55	67,72	42,22	74,9	54,17	40,98	85,89
Luiz Phellype	OFI	960	3	0	29,11	188	48,15	25,49	1,13	3	0,26	1	0,09	23	39,13	13,043	25	0	50	1,31	57,14	26,26	89,12	77,27	96,83	92,65	90,32	100	50	84,62	40	50	100
Camilo Sanvezzo	Querétaro	1853	8	3	34,92	170	53,16	16,67	1,26	7	0,32	1	0,05	59	35,59	13,559	26,32	37,5	18,18	2,57	50,94	36,24	76,79	71,21	86,81	75,23	80,57	58,82	33,33	67,86	69,23	30	80,65
Gustavo	Jeonbuk Motors	1599	3	0	41,65	189	50	49,63	1,91	2	0,35	0	0	33	51,52	9,091	33,33	25	40	1,86	45,45	29,2	68,14	50	92,54	72,15	71,22	33,33	44,44	40	46,88	50	66,67
André Luis	Jeonbuk Motors	1491	2	1	42,2	179	56,06	37,7	1,39	2	0,18	2	0,12	26	30,77	7,692	26,32	23,08	33,33	3,08	49,02	39,58	81,79	78,57	95,15	75	86,1	61,11	66,67	84,21	50	57,14	75,51
Douglas Tanque	Kocaelispor	2604	18	3	35,44	188	51,02	41,03	2,4	16	0,55	4	0,14	89	49,44	20,225	11,76	7,14	33,33	2,89	54,22	32,29	72,3	56,63	87,72	68,7	76,63	42,31	14,29	63,64	40	23,08	78,38
Arthur Caíke	Kashima Antlers	893	3	0	35,47	174	53,13	43,62	2,32	2	0,37	1	0,1	27	22,22	11,111	23,08	10	66,67	1,91	31,58	24,73	80	58,14	93,44	74,63	85,15	20	33,33	64,29	55,56	28,57	66,67
Jairo	Pafos	2748	20	5	34,13	181	53,28	31,02	2,36	19	0,53	3	0,1	81	41,98	24,691	30	42,86	27,91	5,08	45,16	32,14	68,58	52,98	90,32	66,67	73,47	30,77	41,94	56,52	53,19	33,33	82,19
Guilherme	Goiás	2501	10	3	45,17	174	51,53	36,54	2,54	7	0,27	1	0,04	51	39,22	19,608	15	14,29	16	2,87	47,44	45,5	81,51	72,63	95,56	83,44	85,94	58,49	47,62	74,63	42,47	42,31	76,06
Diogo	Coritiba	1626	4	1	37,33	194	51,11	44,53	2,55	4	0,31	1	0,06	28	42,86	14,286	25	50	22,73	2,05	37,84	25,13	75,97	57,89	87,5	75,28	81,45	36,36	66,67	66,67	39,29	100	65,71
Diego Oliveira	Tokyo	2617	14	1	35,28	179	61,04	34,93	1,65	12	0,32	4	0,14	58	37,93	24,138	36,36	30	41,67	3,44	60	31,94	76,35	66,18	87,74	78,34	79,22	26,67	33,33	64,15	64,58	36,36	77,05
Cléber	Ceará	466	1	0	31,65	199	25,71	45,45	0,77	1	0,59	1	0,19	15	40	6,667	40	50	0	1,55	37,5	25,58	82,56	76,47	90,32	78,95	87,01	40	100	75	57,14	0	90
Emerson Deocleciano	RFS	3329	9	10	45,47	174	56,36	44,74	2,41	9	0,39	0	0	127	42,52	7,087	37,25	37,93	33,33	8,08	57,53	45,23	81,87	75	94,3	82,39	87,08	55,91	51,92	70,48	70,09	43,33	91,83
Ademilson	Machida Zelvia	1626	9	2	40,33	176	50	23,81	1,38	7	0,49	0	0	56	35,71	16,071	50	37,5	55,56	3,54	53,13	43,86	76,64	58,77	93,08	79,58	78,71	66,67	16,67	60,53	65,91	27,27	80
Pablo	Athletico Paranaense	3241	13	4	33,14	185	47,46	34,78	2,34	13	0,32	1	0,03	76	36,84	17,105	41,18	33,33	40	1,29	48,89	32,47	81,52	64,29	91,67	86,72	83,47	65,96	42,11	73,26	54,17	38,89	77,17
Paulinho Bóia	América Mineiro	815	1	1	38	171	42,5	41,18	1,76	1	0,11	0	0	8	50	12,5	42,86	28,57	57,14	7,33	54	39,29	75,41	57,14	90,2	79,03	78,98	66,67	0	69,23	38,89	0	73,33
Cesinha	Daegu	2457	12	6	38,51	177	49,47	14,63	1,54	9	0,24	2	0,07	84	40,48	14,286	44,44	52,17	36,36	4,36	51,26	39,72	81,3	74,67	94,12	81,82	85,55	63,75	50	73,72	60,71	45,83	81,38
