Jogador	Equipe	Minutos jogados:	Golos	Assistências	Duelos ganhos, %	Altura	Duelos defensivos ganhos, %	Duelos aéreos ganhos, %	Interseções/90	Golos sem ser por penálti	Golos esperados/90	Golos de cabeça	Golos de cabeça/90	Remate	Remates à baliza, %	Golos marcados, %	Cruzamentos certos, %	Cruzamentos precisos do flanco esquerdo, %	Cruzamentos precisos do flanco direito, %	Dribles/90	Dribles com sucesso, %	Duelos ofensivos ganhos, %	Passes certos, %	Passes para a frente certos, %	Passes para trás certos, %	Passes laterais certos, %	Passes curtos / médios precisos, %	Passes longos certos, %	Passes inteligentes certos, %	Passes certos para terço final, %	Passes precisos para a área de penálti, %	Passes em profundidade certos, %	Passes progressivos certos, %
Fabrício Daniel	Sport Recife	1642	2	3	37,74	182	52,75	17,31	2,36	2	0,19	0	0	38	34,21	5,263	25	40	21,74	5,04	55,43	37,39	74,51	66,19	92,65	67,55	81,52	51,85	28	70,31	46,15	34,62	77,01
Renato Júnior	Viborg	1472	2	1	32,2	190	46,58	30,16	2,32	1	0,2	0	0	16	43,75	12,5	28,57	50	20	4,34	40,85	28,57	74,17	72,13	89,29	61,29	77,13	75	33,33	73,68	61,11	50	60
João Paulo	Kairat	2926	20	5	46,45	170	45,33	26,09	0,95	15	0,48	1	0,03	174	38,51	11,494	33,72	29,23	47,62	4,31	55,71	51,18	57,28	47,5	73,58	61	66,76	35,14	16,67	48,98	42,17	27,59	80,56
Pernambuco	Diósgyőr	1222	6	2	46,2	186	63,08	30,91	3,09	5	0,25	1	0,07	30	60	20	16,67	0	20	7	51,58	43,48	78,08	69,41	91,14	78,45	82,77	50	50	70	61,11	28,57	76,09
Hyuri	CRB	766	1	1	45,41	186	48,72	46,03	3,02	1	0,12	0	0	6	16,67	16,667	30,43	25	31,58	3,28	84	48,44	70,16	61,54	93,55	62,79	80	25	50	70	61,54	50	75
Caio Cruz	Radomlje	901	1	0	43,79	0	75,86	35,42	2,22	1	0,21	0	0	18	27,78	5,556	0	0	0	1,33	33,33	39,58	65,38	45,16	90	52,17	69,79	20	20	33,33	14,29	16,67	58,33
Matheus Jesus	V-Varen Nagasaki	3363	7	4	46,97	187	53,33	49,61	2,54	6	0,23	3	0,08	80	38,75	8,75	44,44	47,37	40	2,38	53,93	41,58	84,28	73,43	91,9	90,17	87,54	65,35	54,84	76,22	63,41	42,86	82,35
Saldanha	Partizan	4342	15	5	34,95	185	46,09	30,5	1,45	14	0,4	2	0,04	117	37,61	11,966	37,14	42,11	33,33	5,77	53,38	36,47	73,92	52,56	89,36	77,45	75,84	68,42	34,62	65,88	42,59	34,78	83,64
Derik Lacerda	Cuiabá	2052	1	1	43,79	191	49,46	44,8	1,71	1	0,14	1	0,04	33	27,27	3,03	14,29	14,29	14,29	3,68	59,52	46,3	77,57	68,63	82,54	78,75	81,97	33,33	75	71,43	26,67	40	57,14
Jean Patric	Vissel Kobe	1345	6	0	41,99	175	63,64	34,91	2,94	5	0,41	0	0	41	34,15	14,634	31,03	30,77	33,33	4,28	57,81	41,48	73,86	65	91,67	66,36	84,09	44,44	0	72,22	44,9	0	69,84
Tiago Orobó	Daejeon Citizen	2702	16	3	38,19	190	59,79	41,8	1,87	14	0,41	5	0,17	68	39,71	23,529	33,33	66,67	0	1,6	54,17	29,31	66,93	56,64	80,29	68,42	67,89	28,57	18,18	52	43,75	12,5	66,67
Brenner	Sporting Cristal	3013	15	4	35,41	182	51,65	27,71	1,11	12	0,36	2	0,06	52	51,92	28,846	28,57	0	50	1,14	42,11	35,96	79,58	59,09	92,41	83,95	80,97	70,37	21,43	66,18	50	25	73,91
Vander	Bangkok United	2400	5	4	43,04	176	55,07	30,3	1,24	4	0,21	1	0,04	45	31,11	8,889	34,09	33,71	36,59	10,65	48,24	44,74	70,67	67,5	90,76	69,97	82,1	65	47,83	68,29	55,26	44,44	88,72
Giovanni Augusto	Vitória	1891	2	2	49,86	175	66,67	36,67	1,81	1	0,11	0	0	28	32,14	7,143	34,33	34,38	35,29	2,81	59,32	48,3	81,69	74,64	92,66	81,19	88,4	52	28,57	79,04	47,42	34,48	82,28
Mateusão	Shabab Al Ahli Dubai	734	0	1	39,13	184	41,67	52,63	1,96	0	0,09	0	0	7	14,29	0	0	0	0	1,1	55,56	32	72,5	50	93,55	46,67	77,33	0	0	0	100	0	16,67
Henrique Almeida	Vila Nova	1348	4	0	31,76	177	53,73	23,66	1,8	4	0,42	1	0,07	43	37,21	9,302	16,67	0	20	1	60	30,48	75,74	66,67	90,91	75,36	80,45	66,67	33,33	68,97	42,86	0	61,9
Marco Túlio	Central Coast Mariners	2430	11	5	40,53	177	56,69	19,05	2,22	10	0,42	1	0,04	67	44,78	16,418	41,86	34,78	50	3,04	60,98	37,04	78,69	74,3	87,8	77,91	83,27	48,28	50	73,03	67,12	46,15	83,74
Danilo Alves	BG Pathum United FC	1790	8	2	37,69	187	54,46	35,82	2,77	7	0,46	1	0,05	60	38,33	13,333	30,43	20	38,46	4,73	46,81	33,22	78,82	60,2	91,34	78,74	82,29	58,33	33,33	66,04	44,12	36,36	73,47
Hamilton	Port FC	3293	16	5	43,37	191	57,46	53,82	1,89	14	0,34	6	0,16	68	50	22,059	0	0	0	1,12	41,46	33,09	83,08	67,81	95,08	82,04	83,73	78,95	58,33	75	69,23	50	76,56
Alan	Moreirense	2558	9	8	42,91	165	52,08	10,91	2,13	9	0,16	0	0	43	41,86	20,93	34,78	26,67	50	2,6	56,94	45,41	86,48	75,27	97,89	89,83	89,05	62,5	31,25	79,35	59,62	35	80,71
Marcelo Ryan	Yokohama	1495	4	1	30,49	188	52,63	28,57	1,69	4	0,43	0	0	48	33,33	8,333	16,67	0	33,33	2,35	38,46	26,97	72,03	54,72	87,72	71,43	73,68	50	0	60,87	75	0	51,61
Douglas Coutinho	Nam Dinh	1525	3	0	36,8	183	61,54	33,33	1,53	3	0,22	0	0	41	39,02	7,317	44,44	42,86	45,45	3,66	56,45	38,89	66,92	52,33	82,93	76,25	70,48	44,44	50	55,81	56,52	40	72,34
William Lira	Chonburi	1919	13	2	35,32	186	48,57	47,37	1,22	10	0,49	6	0,28	68	30,88	19,118	11,76	25	0	2,95	52,38	28,86	77,94	60	94,07	72,63	82,51	38,89	100	72,73	58,33	60	62,5
Felippe Cardoso	Casa Pia AC	884	6	0	30,53	187	48,65	26	2,34	5	0,39	1	0,1	24	41,67	25	33,33	100	20	4,89	54,17	29,49	79,56	74,19	96,67	76,47	82,81	25	60	77,78	40	33,33	62,5
Paulo Victor	Chaves	3872	10	1	40,97	180	56,06	33,59	3,74	10	0,22	2	0,05	57	45,61	17,544	23,21	19,23	26,67	3,21	57,97	42,01	70,57	51,85	91,87	72,11	75,04	50	0	55,38	40,43	25	61,36
Souza	Ponte Preta	4041	11	8	49,25	183	61,84	43,61	3,25	6	0,18	0	0	106	31,13	9,434	25,68	25,64	26,47	2,13	54,26	44,8	80,15	68,28	95,68	84,4	85,88	55,56	35,29	66,03	33,64	28,13	78,55
André Luis	Moreirense	2729	16	0	37,5	184	52,94	43,66	1,43	10	0,47	5	0,17	79	27,85	20,253	0	0	0	1,27	31,58	29,73	75,8	63,33	87,77	80,56	76,8	71,43	53,85	62,26	35,71	60	61,7
Daniel dos Anjos	Tondela	2465	5	3	37,82	183	52	42,79	1,72	4	0,29	1	0,04	49	40,82	10,204	25	0	27,27	2,45	40,3	31,9	72,28	67,39	82,79	68,66	73,72	66,67	42,86	71,11	45,45	50	60,71
Michel	Sport Recife	2474	11	4	43,57	187	48,13	53,25	3,09	10	0,3	2	0,07	55	52,73	20	30	28	25	4,55	51,2	38,34	81,38	70,62	93,63	80,53	86,09	45,65	55,56	77,38	62,5	40	84,48
Matheuzinho	América RN	1596	2	2	45,79	171	59,32	12,5	1,19	1	0,13	0	0	34	44,12	2,941	37,5	50	11,11	1,42	42,11	41,11	73,67	71,29	80,65	74	80,44	51,52	20	71,15	42,31	25	78,57
Waguininho	Avaí	1807	7	1	35,27	177	47,31	27	2,49	6	0,19	2	0,1	37	43,24	18,919	48,39	53,85	44,44	2,69	37,04	34,67	81,03	70,97	98,17	81,38	84,33	60	40	77,78	53,33	33,33	75,41
V. Matos	Partizani Tirana	1689	13	2	34,63	180	43,68	22,45	1,12	10	0,53	2	0,11	49	48,98	26,531	30,77	15,38	46,15	2,88	40,74	37,06	73,76	62,94	91,76	72,57	78,91	44,74	44,44	63,93	54,9	37,04	85,94
Vinícius Lopes	Santa Clara	438	0	0	35	180	42,31	39,47	2,05	0	0,12	0	0	10	10	0	0	0	0	4,93	37,5	26,98	85,14	73,33	95	89,47	87,5	0	0	60	100	0	100
Renan	Seoul E-Land	511	6	1	29,8	0	44	21,05	1,94	6	0,32	1	0,18	13	84,62	46,154	100	100	0	1,94	36,36	27,12	63,89	42,86	70,59	78,57	65,22	0	33,33	22,22	40	33,33	60
Popó	Suwon Bluewings	1206	7	0	26,12	190	39,02	31,37	2,24	7	0,56	2	0,15	30	53,33	23,333	28,57	20	0	2,91	56,41	22,94	83,54	65	94,12	82,35	89,19	50	0	100	57,14	0	81,82
Ytalo	Sampaio Corrêa	2440	9	0	38,07	181	54,93	30,57	1,59	9	0,34	1	0,04	40	57,5	22,5	33,33	0	50	0,33	66,67	45,45	81,8	55	93,06	85,44	83,99	38,89	50	74,42	61,54	50	64,29
Felipe Augusto	Operário PR	3238	12	3	35,5	182	51,72	39,58	1,74	12	0,27	0	0	103	41,75	11,65	24,69	24,56	25	4,09	46,04	31,44	69,74	62,9	88,08	67,37	78,75	39,22	57,14	62,86	45,71	36,36	77,66
Willen	Bangkok United	2563	19	3	37,23	184	53,19	38,24	1,33	14	0,67	6	0,21	87	45,98	21,839	30	28,57	33,33	1,86	50,94	35,44	83,25	67,54	92,57	88,44	85,15	42,86	54,55	81,82	48,28	33,33	72,55
Luiz Adriano	Internacional	3066	10	4	32,72	184	47,06	33,76	2,14	10	0,3	3	0,09	57	43,86	17,544	33,33	100	0	0,77	61,54	25,21	82,88	64,29	93,55	87,61	84	45,45	37,5	68,89	65	23,08	64,86
Willian Bigode	Athletico Paranaense	523	2	0	50,62	171	69,57	37,5	3,27	2	0,12	0	0	9	44,44	22,222	20	50	0	2,24	53,85	48,65	83,56	69,23	89,66	90	85,19	100	0	81,82	71,43	0	66,67
Claudinho	Pouso Alegre	722	0	0	36,26	167	66,67	10	1,15	0	0,18	0	0	23	30,43	0	100	100	100	2,56	35	25	82,76	69,41	94,74	91,49	85,54	41,18	33,33	75	54,55	14,29	76,09
Bruno Marques	Marítimo	511	3	0	40,46	193	58,97	40,43	1,64	3	0,69	1	0,18	21	38,1	14,286	0	0	0	2,19	41,67	29,51	76,24	33,33	93,1	78,95	78,95	50	50	50	50	0	50
Vinícius Tanque	Melilla	1147	0	0	32,45	183	46,51	32,12	1,88	0	0,11	0	0	15	53,33	0	28,57	66,67	0	1,57	55	27,97	71,36	58,14	86,15	73,21	76,24	18,18	50	60	70	60	66,67
Saulo Mineiro	Ceará	827	1	0	30,57	184	44,12	19,57	1,2	1	0,21	0	0	23	43,48	4,348	22,22	0	33,33	2,83	57,69	31,4	73,27	70,59	82,35	61,11	77,27	100	0	80	45,45	0	100
Ryder Matos	Perugia	925	1	1	41,39	180	59,52	14,29	1,36	1	0,09	0	0	11	36,36	9,091	13,79	13,33	14,29	5,16	67,92	46,95	79,7	74,58	95	75	88,41	50	25	71,43	27,78	25	82,61
Welthon	Torreense	1495	12	0	41,6	180	44	37,78	1,15	8	0,64	4	0,26	42	42,86	26,19	28,57	20	33,33	3,97	61,29	43,65	69,31	54,17	79,59	75,93	74,07	46,67	50	68	44,44	60	82,14
Raúl Asencio	Potenza	782	0	2	35,88	185	56,67	40,83	1,5	0	0,11	0	0	7	57,14	0	33,33	0	33,33	0,81	71,43	25	69,03	57,69	76	72,73	70,75	50	75	75	57,14	66,67	69,23
André Felipe	Ponte Preta	941	2	0	36,75	184	56,1	36,36	2,01	1	0,25	0	0	13	53,85	15,385	33,33	100	0	2,2	43,48	31,37	80,95	66,67	88,64	83,93	83,33	33,33	33,33	63,16	66,67	50	63,64
Dennis Murillo	Lamphun Warrior	917	5	1	42,39	184	42,86	53,45	1,47	3	0,56	0	0	28	53,57	17,857	33,33	25	100	1,08	45,45	39,44	76,92	74	97,22	74,07	80,65	72,73	100	64,29	64,29	100	76,19
Nathan Fogaça	San Antonio	955	3	5	31,99	178	48,98	35,14	1,79	3	0,21	0	0	23	39,13	13,043	33,33	0	36,36	3,86	39,02	26,45	77,27	67,44	92,98	77,36	80,9	62,5	100	65	66,67	66,67	86,96
Jefferson	Bali United	2670	19	2	36,09	185	47,44	38,73	1,83	16	0,58	5	0,18	73	47,95	24,658	36,84	33,33	44,44	3,33	44,09	32,45	72,65	57,33	88,14	69,16	75,67	52,94	22,22	60,61	50	25	72,09
Rômulo Souza	CRB	1389	2	2	39,88	175	60,29	39,29	2,2	2	0,24	0	0	26	34,62	7,692	39,13	44,44	38,46	3,43	43,4	34,64	80,06	67,5	95,56	81,25	84,84	52,63	40	74,29	53,13	37,5	84
Lucas Ribamar	Náutico	1784	6	1	31,92	184	40,48	29,28	0,96	6	0,29	1	0,05	41	36,59	14,634	28,57	33,33	0	1,36	33,33	33,05	71,35	45,65	88,89	74,36	73,56	50	20	64,71	11,11	25	61,54
Felipe Ferreira	Chapecoense	1534	2	1	40,59	186	52,63	24,14	1,58	2	0,14	1	0,06	39	25,64	5,128	40	44,44	38,46	2,82	58,33	42,45	79,85	68,54	95,52	83,14	85,25	65,71	40	76,19	51,06	37,5	75
Matheus Aias	Moreirense	1510	2	0	37,08	176	66	31,19	1,58	2	0,24	0	0	37	62,16	5,405	9,09	0	33,33	3,47	59,65	38	66,94	55,81	75,56	67,42	71,77	50	20	48	44,44	14,29	60,87
L. da Silva	Melgar	659	1	0	37,61	179	60	52,17	2,63	1	0,21	0	0	13	23,08	7,692	33,33	40	0	5,53	40	28	78,09	64,62	85,42	81,58	79,57	73,33	0	76,47	45,45	40	72,5
Tomás Bastos	Chapecoense	3028	8	5	39,69	175	53,93	21,67	2,33	5	0,24	1	0,03	78	38,46	10,256	38,78	43,9	14,29	0,93	60	29,93	80,86	69,2	96,43	83,87	86,8	53,13	17,65	66,88	49,23	36,36	80,63
Pedro Henrique	Radomiak Radom	2718	13	3	37,9	188	51,19	44,04	1,34	12	0,54	4	0,13	73	38,36	17,808	57,14	33,33	66,67	1,07	46,88	28,71	72,46	60	83,96	76,09	73,22	62,5	42,86	75,68	33,33	42,86	65
William Barbio	Londrina	2263	7	1	35,73	176	58,67	20,87	1,73	6	0,18	3	0,12	34	44,12	20,588	26,32	25	28,57	1,81	59,09	37,98	82,1	64,93	94,64	84,58	84,41	75	33,33	77,78	45,83	64,29	83,52
Bruno Baio	Retrô	874	6	1	40,76	197	29,41	49,41	1,26	2	0,58	1	0,11	22	45,45	22,727	40	33,33	50	1,03	33,33	37,14	73,37	50	88	76,09	75,64	50	60	78,57	58,82	0	69,57
Júnior Pirambu	Campinense	621	1	0	26,45	183	30,77	27,69	0,91	1	0,33	1	0,15	10	20	10	0	0	0	1,07	57,14	29,09	76,79	66,67	90	61,54	80,77	50	0	85,71	0	0	66,67
Rodrigo Rodrigues	ES Tunis	3751	15	3	35,66	191	49,46	37,07	1,43	11	0,43	2	0,05	89	40,45	16,854	23,08	75	0	1,31	52,94	33,91	78,23	60,19	90,96	71,55	80,68	38,46	28,57	65,31	40,74	50	65,96
Geovane Magno	Viettel	836	2	1	41,76	0	65	50	2,05	2	0,19	0	0	26	34,62	7,692	16,67	0	33,33	3,66	50	39,62	79,57	65,45	96,08	85,19	83,1	56,25	40	70,37	56,25	40	84,62
Rangel	Kolos Kovalivka	406	3	0	34,13	185	68	31,43	3,33	2	0,56	1	0,22	13	53,85	23,077	25	0	25	0,67	33,33	18,6	85,34	66,67	100	94,74	87,96	75	0	80	100	0	63,64
Jenison	Grêmio Novorizontino	1805	1	3	36,45	186	60,32	37,14	2,14	1	0,19	1	0,05	35	22,86	2,857	38,46	50	20	1,5	56,67	26,92	74,3	61,9	85,94	70	77,01	45,45	0	72,41	52,63	0	67,65
Renan Gorne	Portuguesa	1094	4	3	34,57	182	63,64	33,68	1,15	4	0,33	2	0,16	32	40,63	12,5	71,43	100	50	1,73	23,81	25,49	82,63	68	87,5	90,24	83,44	66,67	0	66,67	85,71	0	64,29
Tiago Reis	Botafogo PB	452	1	1	25,93	184	38,89	11,11	0,83	1	0,14	0	0	6	50	16,667	0	0	0	1,25	66,67	34,62	70,69	46,15	93,75	78,57	71,7	60	0	57,14	0	0	66,67
Elivelto	Anagennisi Karditsas	2128	4	1	45,16	170	64,23	24,32	2,56	4	0,14	0	0	28	53,57	14,286	36,92	39,22	25	7,6	52,91	42,42	77,55	65,05	91,63	78,72	83,18	54,17	47,62	77,91	51,32	47,83	75,65
Jael	Avaí	1721	7	0	39,47	186	48	42,74	0,94	6	0,27	4	0,21	28	39,29	25	40	33,33	50	0,78	46,67	36,13	68,75	48,05	87,04	74,03	71,2	44,44	30	46,15	34,48	25	86,36
Ciro	Persib	2896	12	3	44,3	175	62,5	40,58	1,27	12	0,21	0	0	83	43,37	14,458	26,27	3,7	32,97	7,15	49,57	44,64	60,75	58,09	86,21	53,3	71,98	38,46	36,36	48,98	38,37	28,57	87,34
Diego Maurício	Odisha	2272	18	6	34,86	183	63,79	27,59	1,21	12	0,6	1	0,04	80	42,5	18,75	19,05	11,11	25	4,05	53,61	31,89	74,63	58,06	92,38	80	78,34	52,17	44,44	69,09	55,88	41,67	76,92
O. Batista Meier	Verl	836	4	4	37,23	178	52	38,46	2,69	4	0,21	1	0,11	14	57,14	28,571	38,1	50	35,29	4,52	42,86	33,02	78,06	66,22	90,48	78,82	83,13	46,67	28,57	70,59	50	25	76
Marcus Vinicius	Atlético Huila	2740	12	1	40,71	188	51,88	36,11	2,43	10	0,2	2	0,07	74	39,19	16,216	38,46	37,5	40	4,83	52,38	38,82	80,42	68,33	87,65	83,26	84,15	50	27,78	66,23	49,12	35	76,86
Thiago Bezerra	Al Orubah	2983	19	2	39,12	178	49,33	39,49	0,93	14	0,51	1	0,03	75	40	24	33,33	40	28,57	3,67	45,79	36,7	77,86	56,9	89,43	81,62	80,99	74,36	40	56,41	68	28,57	78,95
Dudu	JEF United	1661	13	4	41,83	180	62,5	28,46	2,28	11	0,4	2	0,11	52	40,38	25	32,35	38,1	25	3,52	61,54	46,55	69,53	57,73	86,87	68,1	74,4	43,48	25	51,35	44,44	20	65,96
Rodrigo Da Costa	Memphis 901	3361	14	5	39,97	183	62,22	31,41	2,14	13	0,3	1	0,03	70	42,86	18,571	32,56	27,59	38,46	2,33	49,41	38,21	72,8	54,32	91,2	72,3	76,68	41,27	35,42	53,98	53,41	34,43	65,83
Gabriel	Mirassol	3883	6	3	44,79	178	55,63	32,18	2,09	4	0,13	0	0	49	30,61	12,245	48	47,06	48,78	1,6	56,52	46,67	84,86	75,7	95,1	87,24	88,48	65,38	31,25	77,08	56,03	47,73	80,06
Vinícius Araújo	Imabari	1284	0	0	37,35	175	54	31,11	1,75	0	0,6	0	0	34	41,18	0	18,18	20	16,67	2,38	61,76	38,26	71,31	53,06	82,35	75,61	74,41	68,18	30	67,86	36	27,27	69,23
Pedro Lucas	Olimpija	2968	6	2	39,82	185	48,21	43,4	2,23	6	0,22	3	0,09	63	44,44	9,524	31,82	100	30	1,02	63,64	34,32	79,3	66,44	92,12	77,01	81,68	52,94	36,36	69,57	51,28	36,36	66,67
Sandro Lima	Manisa F.K.	1634	6	2	29,38	186	29,17	31,37	1,49	6	0,31	0	0	38	28,95	15,789	80	66,67	100	1,87	26,47	28,47	82,44	61,43	91,3	86,33	84,14	43,75	25	63,64	52,17	14,29	67,74
Samuel Rosa	Prachuap	3034	17	6	45	186	64,65	47,59	1,31	13	0,5	5	0,15	83	38,55	20,482	39,34	40,91	35,29	5,58	53,72	42,11	76,32	71,43	91,02	68,1	82,16	60,53	28,57	70,59	52,56	41,18	88,16
Nicolas	Ceará	3333	13	1	37,77	180	57,63	42,99	1,43	12	0,33	4	0,11	55	45,45	21,818	50	66,67	0	0,73	38,46	28,32	79,96	66,27	89,29	81,76	80,4	73,33	25	80,95	56,52	50	60
Lucca	Lamphun Warrior	1742	5	1	40,8	178	56,16	29,73	2,07	4	0,19	1	0,05	27	33,33	18,519	25	27,27	25	2,32	53,33	40,67	74,62	58,49	84,55	76	79,45	50	0	60,71	60	0	70,97
Alisson Farias	Chapecoense	2520	4	0	43,8	171	60,49	15,79	1,71	3	0,16	1	0,04	52	26,92	7,692	40	47,06	15,38	4,25	54,62	46,86	80,89	73,27	93,57	82,66	86,02	70,77	52,94	75,82	59,76	45	89,92
Brenner	Khon Kaen United	1291	5	4	37,97	182	40	31,58	0,91	4	0,44	2	0,14	48	45,83	10,417	22,5	21,05	25	5,86	57,14	38,18	76,36	63,33	87,8	81,31	85,32	71,43	25	67,57	32,14	57,14	90,63
Hêndrio Araújo	Nam Dinh	2265	8	2	42,45	181	55,1	41,54	2,34	6	0,23	1	0,04	59	33,9	13,559	28	32	24	5,4	50	39,69	80	73,51	94,94	77,25	86,09	47,83	51,61	69,23	56,04	48,65	87,26
Rafaelson	Nam Dinh	2462	16	0	43,34	185	50,79	51,08	1,13	13	0,49	4	0,15	112	33,93	14,286	34,48	50	34,62	3,98	54,13	41,07	74,88	62,16	84,62	81,22	79,58	48,21	50	70,59	57,38	39,29	80,9
Herlison Caion	Ha Noi	2593	16	5	35,18	184	39,06	41,43	0,9	13	0,46	6	0,21	85	34,12	18,824	26,32	37,5	18,18	3,02	45,98	29,96	68,44	52,87	87,27	66,32	71,35	44,44	25	63,04	48,57	26,67	82,5
Anderson Ceará	Santa Cruz	927	1	2	48,13	173	50	27,27	2,02	1	0,12	0	0	25	28	4	25	11,11	66,67	4,94	63,64	50,98	82,22	72	92,73	84,85	85,86	68,57	40	75,81	50	53,85	82,69
Jonathas	Inter de Limeira	710	1	0	37,67	192	63,16	43,43	1,65	1	0,25	1	0,13	13	38,46	7,692	0	0	0	1,77	21,43	23,38	75,81	60	81,82	71,43	76,47	100	0	50	20	0	71,43
Daniel Bahia	Plaza Colonia	471	0	1	32,73	185	66,67	36,73	1,34	0	0,21	0	0	6	16,67	0	33,33	50	0	2,48	23,08	14,04	63,33	60,71	93,75	67,86	65,43	57,14	66,67	50	44,44	66,67	69,23
Robinho	CSA	1260	2	0	35,91	176	50	39,34	2,16	1	0,16	1	0,07	24	29,17	4,167	17,65	40	8,33	4,25	38,6	35,51	80,65	75,76	97,1	71,43	85,71	80	33,33	76,92	46,15	50	77,27
Júnior Dutra	Figueirense	582	1	0	27,52	183	61,11	18,64	2,2	0	0,19	0	0	7	42,86	0	22,22	33,33	16,67	2,93	37,5	18,87	73,17	65,52	96,55	62,86	76,64	87,5	66,67	71,43	30	66,67	77,78
Lecão		1214	5	1	35,56	174	50	25	0,75	4	0,26	0	0	21	47,62	19,048	24,14	0	33,33	4,61	51,02	35,86	69,57	62,5	84,09	62,67	76,17	70	14,29	59,09	42,31	0	95
Jonathan Balotelli	Kedah	975	4	0	39,85	184	69,23	20,9	1,29	4	0,53	1	0,09	35	42,86	11,429	11,76	25	8,33	5,08	63,64	42,64	74,6	62,26	85,96	78,95	79,82	66,67	20	79,17	56,52	0	78,57
Yuri Mamute	Hai Phong	1190	8	1	37,5	177	39,29	25	1,35	5	0,57	3	0,29	29	44,83	17,241	100	0	0	3,28	58,82	37,16	79,1	60,71	91,53	83,72	79,43	0	0	71,43	77,78	0	57,14
Ibson	NorthEast United	1760	4	1	35,74	179	64,44	24,07	1,48	4	0,29	1	0,05	44	36,36	9,091	19,05	12,5	23,08	3,73	45,21	34,41	80	72,6	94,2	78,48	86,35	46,15	50	76,92	55	50	72,41
Felipe Amorim	Hyderabad FC	2052	8	3	34,21	176	50,55	24,66	1,84	8	0,36	4	0,18	71	45,07	11,268	34,69	25	44	3,99	48,35	34,69	70,92	58,59	90,63	65,65	76,05	57,89	32	60,71	52,63	34,48	78,57
Rômulo		1085	1	0	33,05	186	40	38,3	2,07	1	0,17	0	0	15	26,67	6,667	16,67	33,33	0	2,16	46,15	25,98	72,96	53,41	93,33	82,52	75,51	50	20	64	29,17	21,05	81,4
William Henrique		889	0	2	42,54	188	64,81	20	2,07	0	0,04	0	0	7	42,86	0	22,22	8,33	29,17	10,01	45,65	36	63,24	62	80,49	56,58	73,83	55	75	72,73	54,05	50	80,95
Pablo Dyego	Ponte Preta	2574	9	3	42,95	174	61,19	40,66	2,64	7	0,41	1	0,04	73	43,84	12,329	30,19	31,43	26,67	4,02	52,25	39,14	77,39	72,58	90,58	72,53	82,82	62,86	50	81,63	42,55	50	74,68
Fernandinho	Marsaxlokk	1069	4	4	43,33	172	58,06	15,79	1,77	3	0,35	0	0	28	35,71	14,286	55,56	80	25	2,19	57,69	44,44	83,2	79,49	91,78	85,71	85,25	70,59	75	82,28	62,07	71,43	86,11
Thiago Santos	Krasava Ypsona	1331	6	2	44,04	179	58,49	41,38	2,03	6	0,19	0	0	13	76,92	46,154	47,62	43,75	75	1,35	50	39,76	84,1	67,48	92,86	85,14	86,94	46,67	25	68,09	57,14	16,67	71,19
Chrigor	Portuguesa	1982	7	2	37,89	183	63,86	35,71	2,18	4	0,36	1	0,05	47	46,81	14,894	19,44	19,23	20	4,63	50	33,6	63,69	48,45	84,62	65,77	73,83	32,35	25	45,83	31,82	25	73,47
Gustavo Santos	Rheindorf Altach	2297	10	4	41,49	177	42,48	40,37	2,12	8	0,39	3	0,12	68	45,59	14,706	34,88	36,36	35	5,02	58,59	42,89	66,57	58,67	85,45	60,31	72,24	47,06	33,33	59,52	61,54	28,57	85,71
Júnior Todinho	CSA	1918	6	2	34,42	182	52,38	36,96	2,53	4	0,33	1	0,05	40	52,5	15	30	50	20	2,21	46,81	28,57	76,62	63,93	88,52	80,36	78,16	57,89	60	69,57	66,67	58,33	65,15
Marcelo Moreno	Independiente del Valle	1534	5	0	32,58	187	46,67	34,04	1,13	5	0,42	1	0,06	49	34,69	10,204	40	33,33	44,44	0,95	18,75	24,32	77,66	54,55	90,16	83,05	81,76	33,33	0	57,89	40	0	75
Sassá	Amazonas	2608	16	0	30,5	174	41,33	20,51	0,49	13	0,42	3	0,11	66	45,45	24,242	11,11	16,67	0	2,01	59,65	31,15	80,69	63,64	93,67	80,33	83,33	100	0	66,67	60	0	69,23
Patrick	Dečić	3346	10	2	30,93	183	55,74	28,34	0,97	10	0,31	1	0,03	56	42,86	17,857	16,67	0	22,22	1,96	43,84	28,62	78	58,11	92,31	68,66	80,4	59,26	33,33	63,64	35,71	33,33	62,07
Léo Tilica	Al Najma	1851	2	1	44,19	172	58,93	20,83	3,21	1	0,17	0	0	23	26,09	8,696	30,56	40	26,09	3,35	59,42	44,7	84,17	74,01	96,9	88,03	88,96	48,65	25	72,83	60,87	33,33	81,52
Lucão do Break	Hai Phong	2491	14	5	39,18	184	55,43	50,88	1,63	14	0,45	4	0,14	98	39,8	14,286	27,27	25	28,57	3,22	43,82	32,72	73,55	46,43	88,19	77,7	76,51	52,38	40	68,49	40	25	80,39
Miguel Bianconi	Wilstermann	1131	2	0	44,17	191	57,14	43,48	1,19	1	0,15	0	0	23	34,78	4,348	37,5	0	42,86	2,07	65,38	44,25	81,42	59,52	88,37	84,75	84,3	33,33	0	58,33	33,33	0	71,43
Lucão	Al Khor	684	2	0	43,1	189	45,45	50,57	1,21	2	0,44	0	0	16	56,25	12,5	28,57	0	28,57	2,27	46,67	30,23	66,27	54,17	82,35	69,23	70,27	50	0	71,43	28,57	0	66,67
